Tag,Main Alias
ksn,kasanje
kas,kashmir
kat,kathiri
kau,kaurna
kaz,kazakhstan
kzm,kazembe
adg,kel adagh
ahg,kel ahaggar
air,kel air
ajj,kel ajjer
atr,kel ataram
din,kel dinnik
kpr,khairpur
khr,kharan
mgh,khasi
khi,khiva
klo,khmer loeu
khm,khmu
kky,kikuyu
kyr,kirgizia
kzh,kishi zhuz
kss,kissi
kok,kokand
khp,kolhapur
kng,kong
kon,kongo
kor,korea
kot,kotah
kra,krakow
kru,kru
kba,kuba
kki,kuki
kun,kunduz
kur,kurdistan
kno,kurnool
kti,kutai
kut,kutch
lad,ladakh
lah,lahej
lkt,lakota
lan,lanfang
lao,laos
lbl,las bela
lat,latvia
leb,lebanon
lga,lega
leo,león
lib,liberia
lby,libya
lim,limburg
lip,lippe
lit,lithuania
lng,loango
lom,lombardia
lmw,lomwe
alt,los altos
lou,louisiana
lua,luang prabang
lba,luba
lub,lübeck
luc,lucca
lnd,lunda
luo,luo
lur,luristan
lux,luxembourg
mad,madagascar
mgb,maghreb
mgd,maguindanao
mhr,maharashtra
mah,mahra
mai,maimana
mjt,majerteen
mak,makran
mku,makua
mld,maldives
mal,mali
mlt,malta
mch,manchuria
mdk,mandinka
mnb,mangbetu
mnc,manica
mnp,manipur
pat,mapuche
mrv,maravi
mri,mari el
jod,marwar
msi,masai
mas,mascara
msk,maseko
msh,mashona
msn,massina
may,maya
myb,mayurbhanj
maz,mazandaran
mec,mecklenburg
mst,mecklenburg-strelitz
mtc,métis
mew,mewar
mex,mexico
uom,michigan
mco,michoacán
mcr,micronesia
mjk,mijikenda
mng,minas gerais
mnd,mindanao
mrn,mirning
mkt,miskitia
mod,modena
mol,moldavia
mbs,mombasa
mgl,mongolia
mon,montenegro
mor,morocco
mos,mossi
nca,mountain republic
mph,muang phuan
mui,muisca
msc,muscogee
mtp,mutapa
mys,mysore
mzb,mzab
nga,naga
nag,nagpur
nam,nama
nar,narsinghpur
nas,nassau
nal,natalia
nru,nauru
nvj,navajo
nvl,navajoland
nav,navarra
naw,nawanagar
mtb,ndebele
nej,nejd
nep,nepal
net,netherlands
asa,new africa
nbs,new brunswick
nen,new england
nsw,new south wales
nzl,new zealand
new,newfoundland
ntu,ngāi tahu
nto,ngāti toa
nic,nicaragua
blf,niitsitapi
nzp,nimíipuu
nng,noongar
ncr,north carolina
ngf,north german federation
npu,north peru
nor,norway
nvs,nova scotia
nba,nuba
nue,nuer
sc1,nueva españa
sc2,nueva granada
nnv,nunavut
oax,oaxaca
occ,occitania
ogd,ogaden
old,oldenburg
oma,oman
omo,omo
ont,ontario
ccm,o’odham country
ora,oranje
bun,orchha
org,oregon
orn,orinoco
ori,orissa
orm,orma
ozh,orta zhuz
ovb,ovambo
ovm,ovimbundu
oyo,oyo
pak,pakistan
plp,palanpur
pal,palestine
pnm,panama
bnn,pannakwati
ppu,papua
prg,paraguay
prc,paris commune
par,parma
pta,patiala
ptn,patna
pau,paulistânia
pwn,pawnee
pdi,pedi
prk,perak
prm,perm
per,persia
peu,peru
sc3,perú
pbc,peru-bolivia
phi,philippines
phl,philippolis
pni,piratini
pol,poland
plc,poland-lithuania
pns,polynesia
pom,pomerania
pon,pontianak
por,portugal
pru,prussia
pud,pudukottai
pue,pueblo
pco,puerto rico
pan,punjab
qia,qian
que,quebec
qwr,qwara
raj,rajputana
rgb,reguibat
bag,rewah
rhe,rhineland
plt,rio de la plata
sc4,río de la plata
rio,río grande
rom,romania
pap,rome
rus,russia
rwd,rwanda
sah,sahrawi
skh,sakhalin
sky,sakuye
smb,sambas
san,san
rsm,san marco
sng,sangu
ctr,santa catarina
dom,santo domingo
smi,sapmi
sra,sara
sar,sardinia-piedmont
sat,satara
sav,savoy
cob,saxe-coburg-gotha
mei,saxe-meiningen
wei,saxe-weimar
sax,saxony
sca,scandinavia
scn,scania
scm,schaumburg-lippe
sch,schleswig
scw,schwarzburg
sco,scotland
sgu,segou
sel,selangor
sls,séliš
slk,selk’nam
sna,sena
ser,serbia
srr,serer
shs,shan
sha,shandong
shn,shanxi
shw,shewa
sak,siak
sia,siam
sib,siberia
sih,sichuan
sdm,sidamo
sil,sierra leone
sik,sikkim
sin,sindh
stg,sintang
sct,sip song chau tai
slv,slovakia
slo,slovenia
sok,sokoto
srb,sorbia
saf,south africa
sas,south australia
scr,south carolina
sgf,south german federation
spu,south peru
spa,spain
cey,sri lanka
sud,sudan
slw,sulawesi
sul,sulu
srk,surakarta
sur,surguja
ssu,susu
swt,swat
swz,swaziland
swe,sweden
swi,switzerland
syr,syria
oua,tagant
ply,tahiti
tji,tajikistan
tas,tasmania
tar,tatarstan
twt,tawantinsuyu
thl,tehuelche
tke,teke
tek,tekna
tmn,temne
tex,texas
tib,tibet
tid,tidore
tgr,tigray
tip,tipperah
tir,tiris
tiv,tivland
tob,toba
tng,tonga
tps,toposa
tug,touggourt
cau,transcaucasia
trn,transvaal
trs,transylvania
trz,trarza
tra,travancore
tre,trieste
tri,tripolitania
abu,trucial states
tsw,tswana
tua,tuat
tbi,tubu
tgi,tungi
tns,tungus
tun,tunis
tpi,tupinamba
trk,turkana
trh,turkestan
tur,turkey
trm,turkmenia
trc,turkmenistan
tis,turtle island
tus,tuscany
tuv,tuva
sic,two sicilies
udm,udmurtia
ukr,ukraine
uls,ulster
ulr,uluru
uzh,uly zhuz
ubd,united baltic provinces
unl,united netherlands
unt,united tribes
nym,unyamwezi
url,ural
uru,uruguay
skm,usukuma
ute,ute
utr,utetera
uya,uyao
xin,uyghuristan
uzb,uzbekistan
vnt,vanuatu
vnd,venda
vnz,venezuela
ven,venice
vie,vientiane
wad,wadai
wld,waldeck
wls,wales
wal,wallachia
wll,wallonia
wsg,warsangali
wti,wati
wyu,wayuu
wlg,welega
wlo,wello
win,west indies
was,western australia
wes,westphalia
wtu,witu
wlt,wolaita
wur,württemberg
xho,xhosa
xib,xibei
yka,yaka
yak,yakutia
sml,yat’siminoli
yem,yemen
yog,yogyakarta
yuz,yuanzhumin
yuc,yucatán
yue,yue
yug,yugoslavia
yun,yunnan
zan,zanzibar
zhi,zhili
zim,zimbabwe
zul,zulu
zwy,zuwayya
